month,bidding_no,vehicle_class,wdi
2008-01,1,CAN,76.70
2009-01,1,CAN,80.30
2010-01,1,CAN,80.30
2011-01,1,CAN,83.00
2012-01,1,CAN,83.00
2013-01,1,CAN,85.80
2014-01,1,CAN,87.12
2015-01,1,CAN,88.47
2016-01,1,CAN,91.16
2017-01,1,CAN,92.70
2008-01,1,EUU,64.22
2009-01,1,EUU,67.28
2010-01,1,EUU,70.71
2011-01,1,EUU,71.63
2012-01,1,EUU,73.83
2013-01,1,EUU,75.69
2014-01,1,EUU,77.31
2015-01,1,EUU,77.27
2016-01,1,EUU,79.26
2017-01,1,EUU,80.64
2008-01,1,FRA,70.68
2009-01,1,FRA,71.58
2010-01,1,FRA,77.28
2011-01,1,FRA,77.82
2012-01,1,FRA,81.44
2013-01,1,FRA,81.92
2014-01,1,FRA,83.75
2015-01,1,FRA,78.01
2016-01,1,FRA,79.27
2017-01,1,FRA,80.50
2008-01,1,DEU,78.00
2009-01,1,DEU,79.00
2010-01,1,DEU,82.00
2011-01,1,DEU,81.27
2012-01,1,DEU,82.35
2013-01,1,DEU,84.17
2014-01,1,DEU,86.19
2015-01,1,DEU,84.40
2016-01,1,DEU,84.40
2017-01,1,DEU,84.40
2008-01,1,ITA,44.53
2009-01,1,ITA,48.83
2010-01,1,ITA,53.68
2011-01,1,ITA,54.39
2012-01,1,ITA,55.83
2013-01,1,ITA,58.46
2014-01,1,ITA,55.64
2015-01,1,ITA,58.14
2016-01,1,ITA,61.30
2017-01,1,ITA,61.30
2008-01,1,JPN,75.40
2009-01,1,JPN,78.00
2010-01,1,JPN,78.21
2011-01,1,JPN,79.05
2012-01,1,JPN,79.50
2013-01,1,JPN,88.22
2014-01,1,JPN,89.11
2015-01,1,JPN,91.06
2016-01,1,JPN,93.18
2017-01,1,JPN,90.87
2008-01,1,GBR,78.39
2009-01,1,GBR,83.56
2010-01,1,GBR,85.00
2011-01,1,GBR,85.38
2012-01,1,GBR,87.48
2013-01,1,GBR,89.84
2014-01,1,GBR,91.61
2015-01,1,GBR,92.00
2016-01,1,GBR,94.62
2017-01,1,GBR,94.62
2008-01,1,USA,74.00
2009-01,1,USA,71.00
2010-01,1,USA,71.69
2011-01,1,USA,69.73
2012-01,1,USA,74.70
2013-01,1,USA,71.40
2014-01,1,USA,73.00
2015-01,1,USA,74.55
2016-01,1,USA,75.23
2017-01,1,USA,75.23
2008-01,2,CAN,29.46
2009-01,2,CAN,30.45
2010-01,2,CAN,31.66
2011-01,2,CAN,32.67
2012-01,2,CAN,33.49
2013-01,2,CAN,34.31
2014-01,2,CAN,35.30
2015-01,2,CAN,36.48
2016-01,2,CAN,36.89
2017-01,2,CAN,38.02
2008-01,2,EUU,22.76
2009-01,2,EUU,24.75
2010-01,2,EUU,26.37
2011-01,2,EUU,27.88
2012-01,2,EUU,28.86
2013-01,2,EUU,30.05
2014-01,2,EUU,31.16
2015-01,2,EUU,32.30
2016-01,2,EUU,33.42
2017-01,2,EUU,34.54
2008-01,2,FRA,28.61
2009-01,2,FRA,31.67
2010-01,2,FRA,33.85
2011-01,2,FRA,35.91
2012-01,2,FRA,37.68
2013-01,2,FRA,39.02
2014-01,2,FRA,40.46
2015-01,2,FRA,41.68
2016-01,2,FRA,42.77
2017-01,2,FRA,43.72
2008-01,2,DEU,27.99
2009-01,2,DEU,30.83
2010-01,2,DEU,32.34
2011-01,2,DEU,33.68
2012-01,2,DEU,34.49
2013-01,2,DEU,35.25
2014-01,2,DEU,36.29
2015-01,2,DEU,37.58
2016-01,2,DEU,39.07
2017-01,2,DEU,40.47
2008-01,2,ITA,18.95
2009-01,2,ITA,20.26
2010-01,2,ITA,21.93
2011-01,2,ITA,22.62
2012-01,2,ITA,23.04
2013-01,2,ITA,23.48
2014-01,2,ITA,24.14
2015-01,2,ITA,25.04
2016-01,2,ITA,26.19
2017-01,2,ITA,27.94
2008-01,2,JPN,23.43
2009-01,2,JPN,25.56
2010-01,2,JPN,26.53
2011-01,2,JPN,27.78
2012-01,2,JPN,28.13
2013-01,2,JPN,28.77
2014-01,2,JPN,29.49
2015-01,2,JPN,30.38
